asg_complejidad_estimada,asg_participantes,tarea_tipo_nombre,conc_complejidad,conc_actores_externos,est_genero,est_estado_civil,est_trabajo,est_becado,est_hijos,est_posibilidad_economica,est_trab_remoto,asg_evaluacion
Media,3,Desarrollo,Alta,3,M,Soltero,False,True,False,Baja,True,Positiva
Baja,1,Documental,Alta,1,M,Soltero,False,False,True,Baja,False,Mejorable
Alta,3,Investigacion,Alta,1,F,Casado,True,False,False,Madia,True,Mejorable
Baja,2,Documental,Media,2,M,Soltero,False,True,True,Baja,False,Mejorable
Alta,2,Desarrollo,Baja,1,M,Divorciado,True,False,True,Alta,True,Positiva
Alta,1,Investigacion,Media,2,F,Casado,False,False,False,Madia,False,Positiva
Media,3,Investigacion,Alta,2,M,Soltero,True,False,True,Alta,True,Positiva
Baja,1,Documental,Alta,1,F,Soltero,False,True,False,Baja,True,Mejorable
Alta,2,Desarrollo,Baja,3,F,Casado,True,True,False,Madia,True,Mejorable
Baja,1,Documental,Baja,3,F,Soltero,False,True,False,Baja,False,Positiva
Media,2,Desarrollo,Media,1,M,Divorciado,False,False,False,Madia,True,Positiva
Alta,1,Investigacion,Baja,2,M,Soltero,True,False,False,Alta,False,Mejorable
Media,3,Investigacion,Alta,3,F,Casado,False,True,False,Baja,True,Positiva
Baja,1,Investigacion,Media,3,F,Casado,False,True,True,Madia,False,Positiva
Alta,2,Investigacion,Baja,1,M,Soltero,False,True,False,Madia,True,Mejorable
Baja,1,Documental,Alta,2,M,Divorciado,False,False,False,Alta,True,Mejorable
Media,2,Desarrollo,Alta,1,F,Soltero,False,True,True,Baja,True,Positiva
Alta,1,Investigacion,Baja,1,M,Casado,True,False,True,Madia,False,Mejorable
Alta,3,Desarrollo,Alta,3,M,Soltero,False,True,True,Madia,True,Mejorable
Baja,1,Documental,Media,2,F,Divorciado,True,False,False,Alta,False,Positiva
Media,2,Investigacion,Alta,1,M,Divorciado,False,True,True,Madia,True,Positiva
Baja,1,Investigacion,Baja,3,M,Soltero,False,True,False,Baja,False,Positiva
Alta,2,Desarrollo,Alta,1,M,Soltero,True,True,False,Baja,True,Positiva
Alta,1,Documental,Baja,3,F,Casado,False,True,True,Madia,False,Mejorable
Media,3,Desarrollo,Media,1,M,Soltero,True,False,True,Baja,True,Mejorable
Baja,1,Investigacion,Alta,3,F,Divorciado,True,False,True,Alta,False,Positiva
Media,3,Investigacion,Media,3,M,Soltero,False,False,False,Madia,True,Positiva
Baja,1,Documental,Baja,1,F,Casado,True,True,False,Madia,True,Positiva
Alta,2,Desarrollo,Baja,1,F,Casado,True,False,True,Baja,True,Mejorable
Baja,1,Documental,Alta,2,F,Soltero,True,True,False,Madia,False,Positiva
Media,2,Desarrollo,Media,3,M,Soltero,False,True,False,Madia,True,Mejorable
Baja,1,Investigacion,Alta,1,M,Casado,True,False,True,Alta,False,Mejorable
Media,3,Investigacion,Baja,1,M,Casado,True,False,True,Baja,True,Positiva
Baja,1,Investigacion,Alta,2,F,Soltero,False,False,False,Madia,False,Positiva
Alta,3,Desarrollo,Media,3,M,Soltero,True,False,True,Baja,True,Mejorable
Alta,1,Documental,Baja,1,F,Casado,False,False,True,Madia,False,Mejorable
Alta,2,Desarrollo,Baja,1,M,Casado,True,False,True,Madia,True,Positiva
Baja,1,Documental,Alta,2,M,Soltero,True,True,False,Baja,True,Positiva
Media,3,Desarrollo,Media,2,M,Soltero,False,False,False,Baja,True,Mejorable
Baja,1,Investigacion,Alta,3,F,Divorciado,True,False,True,Madia,False,Mejorable
Alta,2,Investigacion,Baja,1,M,Casado,False,False,False,Alta,True,Mejorable
Alta,1,Investigacion,Baja,1,F,Casado,False,True,False,Madia,True,Positiva
Media,2,Desarrollo,Alta,3,M,Soltero,True,False,False,Madia,True,Positiva
Baja,1,Documental,Media,1,F,Casado,False,False,False,Baja,False,Mejorable
Media,3,Desarrollo,Alta,1,F,Divorciado,True,False,True,Madia,True,Mejorable
Baja,1,Investigacion,Baja,3,M,Divorciado,True,False,True,Madia,False,Positiva
Media,3,Investigacion,Alta,2,M,Soltero,False,True,True,Alta,True,Positiva
Alta,1,Investigacion,Media,1,F,Casado,False,True,False,Baja,True,Mejorable
Alta,2,Desarrollo,Media,2,M,Soltero,True,False,False,Madia,True,Mejorable
Baja,1,Documental,Alta,1,F,Casado,False,True,True,Madia,False,Mejorable
Media,2,Desarrollo,Baja,3,M,Casado,False,False,False,Baja,True,Positiva
Baja,1,Investigacion,Alta,2,M,Soltero,False,True,False,Madia,True,Positiva
Alta,3,Desarrollo,Alta,3,F,Divorciado,False,False,False,Madia,True,Positiva
Alta,1,Documental,Baja,1,F,Casado,False,True,False,Alta,True,Mejorable
Media,2,Desarrollo,Media,3,M,Soltero,True,False,False,Baja,True,Mejorable
Baja,1,Documental,Alta,1,M,Soltero,True,False,True,Madia,False,Mejorable
Media,3,Investigacion,Alta,2,M,Soltero,True,False,True,Madia,True,Positiva
Alta,1,Investigacion,Baja,3,F,Casado,True,False,False,Alta,True,Positiva
Alta,3,Desarrollo,Baja,1,M,Divorciado,False,False,False,Madia,True,Mejorable
Baja,1,Investigacion,Alta,3,M,Soltero,True,False,True,Baja,False,Mejorable
Media,2,Investigacion,Media,2,M,Soltero,True,False,False,Alta,True,Positiva
Baja,1,Documental,Alta,1,F,Casado,True,False,True,Madia,False,Positiva
Media,3,Desarrollo,Baja,2,M,Divorciado,True,False,True,Baja,True,Positiva
Alta,1,Documental,Alta,2,F,Soltero,False,True,False,Baja,True,Mejorable
Alta,2,Investigacion,Baja,3,M,Casado,True,False,False,Madia,True,Mejorable
Alta,1,Investigacion,Alta,1,F,Casado,True,True,False,Madia,True,Positiva
Alta,3,Desarrollo,Media,1,F,Soltero,True,False,True,Alta,True,Positiva
Baja,1,Investigacion,Alta,3,M,Soltero,False,False,False,Baja,False,Mejorable
Media,3,Investigacion,Alta,2,M,Divorciado,False,False,False,Madia,True
Baja,1,Investigacion,Baja,1,F,Casado,True,True,False,True,False,Mejorable
Alta,2,Desarrollo,Media,3,M,Casado,True,False,False,Baja,True,Positiva
Alta,1,Documental,Media,2,F,Soltero,True,False,True,Alta,False,Positiva
Media,3,Desarrollo,Alta,1,F,Soltero,False,True,True,Baja,True,Mejorable
Baja,1,Documental,Baja,3,M,Casado,False,True,False,Madia,True,Positiva
